RecipeId,id,score,[features],URL,query
57358,c8a8eb37-c57e-4ebe-badc-ed83b9839466,7.91027,"documentRecency=0.050631538,documentRating=0.8,documentReviewCount=3.264773E-4,originalScore=7.91027",http://localhost:3000/recipe/57358,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
240118,c3bbf325-7aff-48d2-a878-7d7fce88505b,7.91027,"documentRecency=0.06464325,documentRating=1.0,documentReviewCount=0.0032647732,originalScore=7.91027",http://localhost:3000/recipe/240118,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
222116,a4a83c12-3feb-4eb2-a33c-e872fc401b48,7.91027,"documentRecency=0.06362144,documentRating=0.9,documentReviewCount=0.0013059092,originalScore=7.91027",http://localhost:3000/recipe/222116,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
272961,74c48340-9371-41a8-8004-179b052eeaff,7.91027,"documentRecency=0.06653382,documentRating=0.0,documentReviewCount=0.0,originalScore=7.91027",http://localhost:3000/recipe/272961,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
430126,203c224b-ed54-4f0d-b0c3-808e00cc5f86,7.91027,"documentRecency=0.07971028,documentRating=0.0,documentReviewCount=0.0,originalScore=7.91027",http://localhost:3000/recipe/430126,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
445753,5d73e47a-dc38-400e-b194-8d5cbeff86ab,7.91027,"documentRecency=0.08337555,documentRating=0.0,documentReviewCount=0.0,originalScore=7.91027",http://localhost:3000/recipe/445753,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
464862,f26b81a6-b74a-466d-936f-e8d776e80882,7.91027,"documentRecency=0.08868495,documentRating=0.0,documentReviewCount=0.0,originalScore=7.91027",http://localhost:3000/recipe/464862,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
484317,cba95c3a-68fb-4472-ab09-e4130448dcd2,7.91027,"documentRecency=0.09575657,documentRating=0.0,documentReviewCount=0.0,originalScore=7.91027",http://localhost:3000/recipe/484317,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
506669,a043d0ae-55f8-42bc-8a2c-df1c377f0720,7.91027,"documentRecency=0.10715885,documentRating=0.0,documentReviewCount=0.0,originalScore=7.91027",http://localhost:3000/recipe/506669,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
1522,7034ee05-a37c-4702-8152-ff23d6b52002,7.701384,"documentRecency=0.0428685,documentRating=1.0,documentReviewCount=0.007835455,originalScore=7.701384",http://localhost:3000/recipe/1522,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
61152,aa6bb5dc-1e4b-4169-ac98-f08e97706de2,7.701384,"documentRecency=0.050905984,documentRating=0.8,documentReviewCount=3.264773E-4,originalScore=7.701384",http://localhost:3000/recipe/61152,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
418344,e2bf934d-22f0-4de9-8cd8-3f506b6d7be8,7.701384,"documentRecency=0.07834626,documentRating=0.0,documentReviewCount=0.0,originalScore=7.701384",http://localhost:3000/recipe/418344,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
221845,bc134abb-a21a-4ec1-ad8b-8ad42a01bdec,7.701384,"documentRecency=0.06359934,documentRating=0.8,documentReviewCount=3.264773E-4,originalScore=7.701384",http://localhost:3000/recipe/221845,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
70250,59df57aa-9b31-45e3-ade5-d305a0603cc6,7.363492,"documentRecency=0.051776726,documentRating=0.8,documentReviewCount=9.794319E-4,originalScore=7.363492",http://localhost:3000/recipe/70250,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
90195,6f6cc20b-89ee-4c77-8f1a-cfa55c129fae,7.363492,"documentRecency=0.05359505,documentRating=0.8,documentReviewCount=6.529546E-4,originalScore=7.363492",http://localhost:3000/recipe/90195,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
102997,51f79c08-159b-4cf3-b381-9811044007d3,7.363492,"documentRecency=0.0550697,documentRating=0.9,documentReviewCount=6.529546E-4,originalScore=7.363492",http://localhost:3000/recipe/102997,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
167559,40d03db6-9147-439a-bd76-0913e8e14f43,7.363492,"documentRecency=0.06009329,documentRating=0.0,documentReviewCount=0.0,originalScore=7.363492",http://localhost:3000/recipe/167559,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
187816,f3c36fb8-4ca9-49f2-ac37-33f4b3347874,7.363492,"documentRecency=0.06150607,documentRating=0.7,documentReviewCount=6.529546E-4,originalScore=7.363492",http://localhost:3000/recipe/187816,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
190771,fa57e5d7-c8a7-4da8-80a3-cd011f2aa85e,7.363492,"documentRecency=0.061702937,documentRating=0.8,documentReviewCount=3.264773E-4,originalScore=7.363492",http://localhost:3000/recipe/190771,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
196148,082e8f2c-bfc3-4b0c-a9ea-8de0dc32dc9a,7.363492,"documentRecency=0.06205839,documentRating=0.0,documentReviewCount=0.0,originalScore=7.363492",http://localhost:3000/recipe/196148,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
245757,6c090ca2-13c4-4a66-9268-99a096c21214,7.363492,"documentRecency=0.06497581,documentRating=0.9,documentReviewCount=6.529546E-4,originalScore=7.363492",http://localhost:3000/recipe/245757,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
424331,ce753244-68f8-4bb4-b5af-b7ff80ba7830,7.363492,"documentRecency=0.0790565,documentRating=0.0,documentReviewCount=0.0,originalScore=7.363492",http://localhost:3000/recipe/424331,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
316838,57d3e0da-2eee-4b9f-8e33-6952a3bf18d2,7.363492,"documentRecency=0.069355935,documentRating=1.0,documentReviewCount=3.264773E-4,originalScore=7.363492",http://localhost:3000/recipe/316838,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
386248,bc8e18b9-3913-4031-90ca-fab30b10a7a3,7.363492,"documentRecency=0.07479451,documentRating=0.0,documentReviewCount=0.0,originalScore=7.363492",http://localhost:3000/recipe/386248,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
222129,4b709fc7-30bd-4bf3-8f41-ad76352c893b,7.363492,"documentRecency=0.06362144,documentRating=1.0,documentReviewCount=9.794319E-4,originalScore=7.363492",http://localhost:3000/recipe/222129,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
343276,0d00a56b-75e1-4cdb-9af0-05e5cca839b6,7.363492,"documentRecency=0.07117541,documentRating=0.0,documentReviewCount=0.0,originalScore=7.363492",http://localhost:3000/recipe/343276,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
349650,099ca535-999b-4655-aaa8-7a2690ae86d2,7.363492,"documentRecency=0.071606785,documentRating=0.0,documentReviewCount=0.0,originalScore=7.363492",http://localhost:3000/recipe/349650,"['chicken', 'apple pie', 'easy bread', 'pasta bolognese', 'oatmeal']"
