RecipeId,id,score,[features],URL,query,facet
272530,798c1e4d-6a41-4eae-b5ac-64be25826b57,18.7725,"documentRecency=0.06651941,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/272530,easy bread,
298982,88ec3400-951c-4b75-b1e8-8d5990963062,18.7725,"documentRecency=0.06800141,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/298982,easy bread,
303059,f4230309-ef05-4e8b-a073-9b04c751adaa,18.7725,"documentRecency=0.06831851,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/303059,easy bread,
311798,e90ddad5-c400-45d8-be18-b9b0d2639e9e,18.7725,"documentRecency=0.068987645,documentRating=0.7,documentReviewCount=6.529546E-4,originalScore=18.7725",http://localhost:3000/recipe/311798,easy bread,
313400,bf8b3baa-eb43-4059-91a8-5f2f89084c73,18.7725,"documentRecency=0.06911783,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/313400,easy bread,
327107,dbbfaa07-aedc-4f52-be0a-d91118a7621d,18.7725,"documentRecency=0.070083275,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/327107,easy bread,
330988,84ce0689-a618-45cb-b67b-1f17bad7a948,18.7725,"documentRecency=0.07037954,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/330988,easy bread,
356285,752e61b5-ff6e-4399-a9dc-91d0f6383df7,18.7725,"documentRecency=0.072097406,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/356285,easy bread,
361554,4632724f-6150-4e8a-a486-c1ff4f974a17,18.7725,"documentRecency=0.072525695,documentRating=1.0,documentReviewCount=3.264773E-4,originalScore=18.7725",http://localhost:3000/recipe/361554,easy bread,
362806,e06fa327-0567-48af-88c6-8442323b6758,18.7725,"documentRecency=0.072611965,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/362806,easy bread,
366728,3eb4012d-0e1e-48b1-b20f-66ecc8a25f72,18.7725,"documentRecency=0.07297363,documentRating=0.9,documentReviewCount=6.529546E-4,originalScore=18.7725",http://localhost:3000/recipe/366728,easy bread,
368135,63875611-9e01-4c61-9031-1d801c6fcabf,18.7725,"documentRecency=0.07309013,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/368135,easy bread,
390005,2f604d1d-9ce2-4d2c-a939-f87c36564c86,18.7725,"documentRecency=0.075190775,documentRating=0.4,documentReviewCount=3.264773E-4,originalScore=18.7725",http://localhost:3000/recipe/390005,easy bread,
393909,599e3a8c-419a-4f3b-86ea-38766585706c,18.7725,"documentRecency=0.07557866,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/393909,easy bread,
394659,83dd8f01-5a6b-4b43-aaea-7a3a14e9a421,18.7725,"documentRecency=0.07565672,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/394659,easy bread,
410787,0b72a7ea-ace1-4fc9-8caa-ac6941db226b,18.7725,"documentRecency=0.07735033,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/410787,easy bread,
413056,9697a193-46bd-4c69-a82d-b3548ad303ea,18.7725,"documentRecency=0.077645496,documentRating=1.0,documentReviewCount=9.794319E-4,originalScore=18.7725",http://localhost:3000/recipe/413056,easy bread,
436803,b0ff6fe3-4246-4e5a-8441-9d73bd51def0,18.7725,"documentRecency=0.08115514,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/436803,easy bread,
462177,e19f8689-5a72-4298-8ecb-1999d9c67907,18.7725,"documentRecency=0.08772502,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/462177,easy bread,
472361,45022999-3c88-414d-b730-4ad3e0fef5dc,18.7725,"documentRecency=0.091220744,documentRating=0.0,documentReviewCount=6.529546E-4,originalScore=18.7725",http://localhost:3000/recipe/472361,easy bread,
485678,73d805f0-d637-436c-be2f-336671873940,18.7725,"documentRecency=0.096381664,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/485678,easy bread,
508326,a8c41ff9-1130-4abd-b049-c1237e9e2fa0,18.7725,"documentRecency=0.10864672,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/508326,easy bread,
520246,b7647690-8262-4229-b0a4-8e8052dc5071,18.7725,"documentRecency=0.12461556,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/520246,easy bread,
529680,64a7e549-fcf9-4b1e-81ec-882c2aaf7227,18.7725,"documentRecency=0.16616943,documentRating=0.0,documentReviewCount=0.0,originalScore=18.7725",http://localhost:3000/recipe/529680,easy bread,
322137,710a5747-0ab3-448c-814a-613d631197ab,17.671448,"documentRecency=0.06973634,documentRating=0.9,documentReviewCount=6.529546E-4,originalScore=17.671448",http://localhost:3000/recipe/322137,easy bread,
321840,e007ff4c-8103-4f7d-9afb-7539ee2fbe49,17.159235,"documentRecency=0.06972307,documentRating=1.0,documentReviewCount=0.0016323866,originalScore=17.159235",http://localhost:3000/recipe/321840,easy bread,
531697,aa5781d0-b3e5-4bdc-953c-538b1b0315aa,17.159235,"documentRecency=0.17812997,documentRating=0.0,documentReviewCount=0.0,originalScore=17.159235",http://localhost:3000/recipe/531697,easy bread,
41503,b2aba4c5-5310-4429-acb1-1f7e3fa6c7aa,16.879377,"documentRecency=0.049414333,documentRating=0.9,documentReviewCount=0.010773751,originalScore=16.879377",http://localhost:3000/recipe/41503,easy bread,
45284,b4ba8e28-10c6-42f1-932a-750344f2204e,16.879377,"documentRecency=0.049648773,documentRating=1.0,documentReviewCount=9.794319E-4,originalScore=16.879377",http://localhost:3000/recipe/45284,easy bread,
54887,c7dc5461-a179-48e3-b164-5ca467e54521,16.879377,"documentRecency=0.050421096,documentRating=0.0,documentReviewCount=0.0,originalScore=16.879377",http://localhost:3000/recipe/54887,easy bread,
55020,ce849932-ed7d-4cb5-aef7-1a570d8c3b13,16.879377,"documentRecency=0.050434984,documentRating=0.9,documentReviewCount=0.0013059092,originalScore=16.879377",http://localhost:3000/recipe/55020,easy bread,
4038,1202f043-1775-471d-82a0-c6e0f08437c7,16.879377,"documentRecency=0.043231845,documentRating=0.8,documentReviewCount=0.0019588638,originalScore=16.879377",http://localhost:3000/recipe/4038,easy bread,
6553,e86b3966-e149-4559-901b-ac39bbc3eae3,16.879377,"documentRecency=0.043863483,documentRating=0.8,documentReviewCount=3.264773E-4,originalScore=16.879377",http://localhost:3000/recipe/6553,easy bread,
8970,787313f5-7250-4fb7-99ce-2245adfe368a,16.879377,"documentRecency=0.04625074,documentRating=0.9,documentReviewCount=0.007182501,originalScore=16.879377",http://localhost:3000/recipe/8970,easy bread,
10872,77f63cea-494f-466f-897f-6fe5223d7287,16.879377,"documentRecency=0.04679437,documentRating=1.0,documentReviewCount=9.794319E-4,originalScore=16.879377",http://localhost:3000/recipe/10872,easy bread,
66838,f19f4bc4-8fba-4496-87dc-9542aec5b1d9,16.879377,"documentRecency=0.051411938,documentRating=0.8,documentReviewCount=3.264773E-4,originalScore=16.879377",http://localhost:3000/recipe/66838,easy bread,
66939,750474c9-ce54-49c8-96c5-56da9be46d8f,16.879377,"documentRecency=0.051419158,documentRating=0.8,documentReviewCount=9.794319E-4,originalScore=16.879377",http://localhost:3000/recipe/66939,easy bread,
68890,844a9334-a535-498a-bf94-eb0779245ce1,16.879377,"documentRecency=0.051622078,documentRating=1.0,documentReviewCount=9.794319E-4,originalScore=16.879377",http://localhost:3000/recipe/68890,easy bread,
77567,3510da44-ad77-46d1-b9a6-f9f1b2745c94,16.879377,"documentRecency=0.052435,documentRating=1.0,documentReviewCount=0.010447274,originalScore=16.879377",http://localhost:3000/recipe/77567,easy bread,
100512,1bff5fbf-1475-4888-9a70-7da35a5e1e24,16.879377,"documentRecency=0.054763466,documentRating=0.9,documentReviewCount=6.529546E-4,originalScore=16.879377",http://localhost:3000/recipe/100512,easy bread,
110067,adf9e597-cd9d-4aed-8fe3-0ceff1e115c7,16.879377,"documentRecency=0.055866055,documentRating=1.0,documentReviewCount=0.008161933,originalScore=16.879377",http://localhost:3000/recipe/110067,easy bread,
120761,7e485d4c-1e63-4ea1-a3e6-77c855730fb1,16.879377,"documentRecency=0.05666992,documentRating=0.7,documentReviewCount=9.794319E-4,originalScore=16.879377",http://localhost:3000/recipe/120761,easy bread,
123164,44dc5756-4414-40af-9fd1-5b44b83dfbc9,16.879377,"documentRecency=0.05681937,documentRating=1.0,documentReviewCount=6.529546E-4,originalScore=16.879377",http://localhost:3000/recipe/123164,easy bread,
134629,37f04e01-af31-461c-8cfd-1d3c67867bd7,16.879377,"documentRecency=0.05764204,documentRating=1.0,documentReviewCount=0.0013059092,originalScore=16.879377",http://localhost:3000/recipe/134629,easy bread,
139290,f8660a41-0ebe-48dd-af49-2babaa336698,16.879377,"documentRecency=0.057970475,documentRating=1.0,documentReviewCount=3.264773E-4,originalScore=16.879377",http://localhost:3000/recipe/139290,easy bread,
159569,823704f2-175f-421a-84af-3e6cb1408b37,16.879377,"documentRecency=0.059524976,documentRating=1.0,documentReviewCount=0.0026118185,originalScore=16.879377",http://localhost:3000/recipe/159569,easy bread,
167989,8fdbaed6-296d-48e8-a187-563b46466e6d,16.879377,"documentRecency=0.060150612,documentRating=0.8,documentReviewCount=3.264773E-4,originalScore=16.879377",http://localhost:3000/recipe/167989,easy bread,
177845,3f7a9d81-366e-4a6d-8f5f-82942dea7d14,16.879377,"documentRecency=0.060759272,documentRating=0.5,documentReviewCount=0.0013059092,originalScore=16.879377",http://localhost:3000/recipe/177845,easy bread,
179885,1856bd33-e996-4cfc-aca2-7434f6ef80a8,16.879377,"documentRecency=0.060920976,documentRating=1.0,documentReviewCount=9.794319E-4,originalScore=16.879377",http://localhost:3000/recipe/179885,easy bread,
30376,c7f7bebd-7098-4c3a-a216-2f3e266d344a,16.879377,"documentRecency=0.048639994,documentRating=1.0,documentReviewCount=3.264773E-4,originalScore=16.879377",http://localhost:3000/recipe/30376,easy bread,
33647,87363517-0b98-406c-8480-9a4e7218900b,16.879377,"documentRecency=0.04886713,documentRating=0.0,documentReviewCount=0.0,originalScore=16.879377",http://localhost:3000/recipe/33647,easy bread,
21464,63aae990-7bbd-4309-925e-8d6cd323c4e1,16.879377,"documentRecency=0.04805291,documentRating=1.0,documentReviewCount=0.0019588638,originalScore=16.879377",http://localhost:3000/recipe/21464,easy bread,
205484,3e96db6b-b940-4dba-97fa-eff1bde41907,16.879377,"documentRecency=0.06267224,documentRating=1.0,documentReviewCount=3.264773E-4,originalScore=16.879377",http://localhost:3000/recipe/205484,easy bread,
208367,eed5f65c-20b7-47c0-9b86-fb525b13d339,16.879377,"documentRecency=0.06283351,documentRating=1.0,documentReviewCount=6.529546E-4,originalScore=16.879377",http://localhost:3000/recipe/208367,easy bread,
292265,d85e0d5c-683f-4a5f-8f2a-afa6095ada0b,16.879377,"documentRecency=0.06761227,documentRating=1.0,documentReviewCount=0.0013059092,originalScore=16.879377",http://localhost:3000/recipe/292265,easy bread,
293961,32f1707b-ba07-4d4d-9b0b-458e4e234bef,16.879377,"documentRecency=0.06771226,documentRating=0.0,documentReviewCount=0.0,originalScore=16.879377",http://localhost:3000/recipe/293961,easy bread,
294002,8f66e852-ba29-44e1-80da-d0ebf296ea2f,16.879377,"documentRecency=0.06771226,documentRating=0.0,documentReviewCount=0.0,originalScore=16.879377",http://localhost:3000/recipe/294002,easy bread,
