4 qid:1 1:0.89397955 2:1.4903456 3:0.0 4:0.0 5:0.0 6:1.2660147 7:0.0 8:0.0 9:0.06659462 10:0.0 11:0.0 12:0.03125 13:0.22727273 14:0.04672897 15:0.0 16:4.4698977 # 274513
3 qid:1 1:0.89397955 2:1.4565315 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.07912528 10:0.8 11:0.0003264773 12:0.0625 13:0.20454547 14:0.009345794 15:0.0 16:4.4698977 # 425831
4 qid:1 1:0.6693075 2:1.4242176 3:0.0 4:0.6693716 5:0.0 6:1.6226178 7:0.0 8:0.0 9:0.07910818 10:0.0 11:0.0 12:0.0625 13:0.3181818 14:0.028037382 15:0.0 16:3.3465376 # 425700
2 qid:1 1:0.0 2:0.0 3:0.0 4:1.2125309 5:0.0 6:0.0 7:0.0 8:0.0 9:0.07794654 10:1.0 11:0.0003264773 12:0.09375 13:0.11363637 14:0.07476635 15:0.0 16:2.4250617 # 415734
2 qid:1 1:0.0 2:1.3353423 3:0.0 4:1.1255479 5:0.0 6:0.0 7:0.0 8:0.0 9:0.05011903 10:1.0 11:0.0003264773 12:0.0625 13:0.1590909 14:0.037383176 15:0.0 16:2.2510958 # 51442
2 qid:1 1:0.0 2:0.0 3:0.0 4:1.0865741 5:0.0 6:0.0 7:0.0 8:0.0 9:0.086019516 10:1.0 11:0.0003264773 12:0.09375 13:0.09090909 14:0.018691588 15:0.0021141649 16:2.1731482 # 457015
2 qid:1 1:0.0 2:0.0 3:0.0 4:1.0161995 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0858582 10:0.0 11:0.0 12:0.0625 13:0.1590909 14:0.018691588 15:0.0 16:2.032399 # 456140
3 qid:1 1:0.0 2:0.0 3:0.0 4:0.9843234 5:0.0 6:1.6722585 7:0.0 8:0.0 9:0.06619744 10:0.0 11:0.0 12:0.0625 13:0.1590909 14:0.018691588 15:0.0 16:1.9686468 # 267835
2 qid:1 1:0.0 2:0.0 3:0.0 4:0.95438623 5:0.0 6:0.0 7:0.0 8:0.0 9:0.059507754 10:0.0 11:0.0 12:0.0 13:0.20454547 14:0.04672897 15:0.0 16:1.9087725 # 159603
1 qid:1 1:0.0 2:0.0 3:0.0 4:0.92621636 5:0.0 6:0.0 7:0.0 8:0.0 9:0.05345447 10:0.0 11:0.0 12:0.15625 13:0.25 14:0.10280374 15:0.0 16:1.8524327 # 89024
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.92621636 5:0.0 6:1.1677088 7:0.0 8:0.0 9:0.078920685 10:0.8 11:0.0003264773 12:0.0625 13:0.20454547 14:0.009345794 15:0.0 16:1.8524327 # 423289
1 qid:1 1:0.0 2:1.7741601 3:0.0 4:0.0 5:0.0 6:0.0 7:1.4987407 8:0.0 9:0.07471863 10:1.0 11:0.0032647732 12:0.125 13:0.25 14:0.009345794 15:0.006342495 16:1.7741601 # 385552
2 qid:1 1:0.0 2:0.0 3:0.0 4:0.8745874 5:0.0 6:0.0 7:0.0 8:0.0 9:0.05973096 10:1.0 11:0.0003264773 12:0.03125 13:0.22727273 14:0.06542056 15:0.0 16:1.7491748 # 163027
2 qid:1 1:0.0 2:0.0 3:0.0 4:0.8508729 5:0.0 6:1.3461189 7:0.0 8:0.0 9:0.056628034 10:0.8 11:0.0003264773 12:0.09375 13:0.1590909 14:0.07476635 15:0.0 16:1.7017457 # 120501
2 qid:1 1:0.0 2:0.0 3:0.0 4:0.8508729 5:0.0 6:0.0 7:1.4179318 8:0.0 9:0.0675153 10:0.9 11:0.0016323866 12:0.125 13:0.18181819 14:0.056074765 15:0.0021141649 16:1.7017457 # 291422
1 qid:1 1:0.0 2:0.0 3:0.0 4:0.82841027 5:0.0 6:0.0 7:0.0 8:0.0 9:0.073696315 10:0.0 11:0.0 12:0.0625 13:0.22727273 14:0.056074765 15:0.0 16:1.6568205 # 376643
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.8071034 5:0.0 6:0.0 7:0.0 8:0.0 9:0.07031495 10:0.0 11:0.0 12:0.09375 13:0.22727273 14:0.018691588 15:0.0 16:1.6142068 # 330623
2 qid:1 1:0.0 2:0.0 3:0.0 4:0.78686476 5:0.0 6:0.0 7:1.0730281 8:0.0 9:0.06397735 10:0.9 11:0.0009794319 12:0.125 13:0.27272728 14:0.04672897 15:0.0021141649 16:1.5737295 # 228680
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.7318133 5:0.0 6:0.83943343 7:0.862623 8:0.0 9:0.053595256 10:1.0 11:0.0013059092 12:0.125 13:0.25 14:0.10280374 15:0.006342495 16:1.4636266 # 90514
0 qid:1 1:0.0 2:0.7126988 3:0.0 4:0.7318133 5:0.0 6:1.3913004 7:0.0 8:0.0 9:0.0647464 10:0.0 11:0.0 12:0.09375 13:0.3181818 14:0.10280374 15:0.0 16:1.4636266 # 242249
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.6693716 5:0.0 6:0.9739312 7:0.8573328 8:0.0 9:0.06043066 10:1.0 11:0.0058765914 12:0.09375 13:0.29545456 14:0.06542056 15:0.0084566595 16:1.3387432 # 172752
1 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:1.3116982 7:0.0 8:0.0 9:0.08039309 10:0.0 11:0.0 12:0.0625 13:0.11363637 14:0.028037382 15:0.0 16:1.3116982 # 433889
1 qid:1 1:0.0 2:1.2820082 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.10622732 10:0.0 11:0.0 12:0.0625 13:0.1590909 14:0.028037382 15:0.0 16:1.2820082 # 505578
2 qid:1 1:0.0 2:1.2327708 3:0.0 4:0.5240495 5:0.0 6:0.0 7:0.0 8:0.0 9:0.068474576 10:0.0 11:0.0 12:0.09375 13:0.5227273 14:0.06542056 15:0.0 16:1.2327708 # 305102
1 qid:1 1:0.0 2:1.1656199 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.06762749 10:1.0 11:0.0003264773 12:0.125 13:0.1590909 14:0.028037382 15:0.0021141649 16:1.1656199 # 293373
0 qid:1 1:0.0 2:1.1656199 3:0.0 4:0.0 5:0.0 6:0.0 7:1.0886478 8:0.0 9:0.09835433 10:1.0 11:0.0009794319 12:0.15625 13:0.22727273 14:0.04672897 15:0.0 16:1.1656199 # 489943
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:1.1441591 7:0.0 8:0.0 9:0.053579584 10:1.0 11:0.0029382957 12:0.09375 13:0.18181819 14:0.04672897 15:0.006342495 16:1.1441591 # 90299
0 qid:1 1:0.0 2:1.0177797 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.08595896 10:1.0 11:0.0003264773 12:0.0625 13:0.1590909 14:0.04672897 15:0.0 16:1.0177797 # 456737
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.46228743 5:0.0 6:0.9986049 7:0.0 8:0.0 9:0.3117267 10:0.0 11:0.0 12:0.03125 13:0.5227273 14:0.037383176 15:0.0021141649 16:0.9986049 # 539445
0 qid:1 1:0.0 2:0.65456367 3:0.0 4:0.0 5:0.0 6:0.9521376 7:0.0 8:0.0 9:0.0644275 10:0.8 11:0.0003264773 12:0.03125 13:0.27272728 14:0.018691588 15:0.006342495 16:0.9521376 # 237365
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.9521376 7:0.0 8:0.0 9:0.07517873 10:0.0 11:0.0 12:0.0625 13:0.27272728 14:0.037383176 15:0.0 16:0.9521376 # 390503
0 qid:1 1:0.0 2:0.94207954 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.08203157 10:1.0 11:0.0016323866 12:0.03125 13:0.45454547 14:0.084112145 15:0.0021141649 16:0.94207954 # 440725
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.83943343 7:0.0 8:0.0 9:0.07888668 10:0.0 11:0.0 12:0.03125 13:0.25 14:0.12149532 15:0.0 16:0.83943343 # 422911
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:1.5774395 8:0.0 9:0.18114458 10:1.0 11:0.0003264773 12:0.0625 13:0.3409091 14:0.028037382 15:0.0021141649 16:0.7887198 # 532472
0 qid:1 1:0.0 2:0.7288828 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.057247598 10:0.0 11:0.0 12:0.1875 13:0.1590909 14:0.018691588 15:0.0 16:0.7288828 # 129652
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:1.4360836 8:0.0 9:0.05850961 10:0.8 11:0.0006529546 12:0.0625 13:0.3409091 14:0.04672897 15:0.0042283298 16:0.7180418 # 146393
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:1.36642 8:0.0 9:0.071789615 10:0.9 11:0.0006529546 12:0.15625 13:0.09090909 14:0.037383176 15:0.0 16:0.68321 # 352805
0 qid:1 1:0.0 2:0.6823951 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0829418 10:0.0 11:0.0 12:0.15625 13:0.20454547 14:0.07476635 15:0.0 16:0.6823951 # 444291
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:1.3067322 8:0.0 9:0.060450606 10:1.0 11:0.0006529546 12:0.15625 13:0.11363637 14:0.028037382 15:0.0 16:0.6533661 # 173260
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:1.252774 8:0.0 9:0.059955835 10:1.0 11:0.0003264773 12:0.21875 13:0.3409091 14:0.028037382 15:0.0 16:0.626387 # 166276
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:1.2213693 8:0.0 9:0.07294775 10:1.0 11:0.0013059092 12:0.03125 13:0.18181819 14:0.056074765 15:0.006342495 16:0.61068463 # 367000
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:1.13836 8:0.0 9:0.0668865 10:0.9 11:0.0006529546 12:0.03125 13:0.25 14:0.09345794 15:0.0 16:0.56918 # 280063
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:1.1212925 8:0.0 9:0.06033112 10:0.9 11:0.0009794319 12:0.09375 13:0.11363637 14:0.018691588 15:0.0042283298 16:0.56064624 # 171370
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:1.0886478 8:0.0 9:0.06420164 10:0.9 11:0.0006529546 12:0.25 13:0.11363637 14:0.009345794 15:0.0021141649 16:0.5443239 # 232830
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:1.0886478 8:0.0 9:0.06875737 10:0.9 11:0.0006529546 12:0.09375 13:0.29545456 14:0.04672897 15:0.0042283298 16:0.5443239 # 310035
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:1.0802357 8:0.0 9:0.052738655 10:1.0 11:0.0035912504 12:0.28125 13:0.27272728 14:0.009345794 15:0.0021141649 16:0.54011786 # 80983
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:1.0012027 8:0.0 9:0.08603973 10:1.0 11:0.0019588638 12:0.1875 13:0.1590909 14:0.018691588 15:0.006342495 16:0.50060135 # 457168
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.90434754 8:0.0 9:0.07943415 10:0.8 11:0.0013059092 12:0.125 13:0.22727273 14:0.04672897 15:0.006342495 16:0.45217377 # 428547
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.862623 8:0.0 9:0.06875737 10:0.8 11:0.0009794319 12:0.03125 13:0.11363637 14:0.056074765 15:0.006342495 16:0.4313115 # 309861
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.8245789 8:0.0 9:0.06043066 10:1.0 11:0.0019588638 12:0.09375 13:0.36363637 14:0.06542056 15:0.0084566595 16:0.41228944 # 172749
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.78974867 8:0.0 9:0.055554383 10:1.0 11:0.0026118185 12:0.21875 13:0.13636364 14:0.018691588 15:0.0042283298 16:0.39487433 # 107277
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.72822785 8:0.0 9:0.060281474 10:1.0 11:0.0022853413 12:0.125 13:0.22727273 14:0.028037382 15:0.0084566595 16:0.36411393 # 170871
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.72822785 8:0.0 9:0.06294386 10:1.0 11:0.0019588638 12:0.125 13:0.25 14:0.07476635 15:0.014799154 16:0.36411393 # 211007
0 qid:1 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.6520381 8:0.0 9:0.06043066 10:1.0 11:0.0058765914 12:0.15625 13:0.11363637 14:0.028037382 15:0.027484143 16:0.32601905 # 172755
2 qid:2 1:3.7545 2:3.363361 3:0.0 4:0.0 5:0.0 6:1.4103502 7:1.5815037 8:0.0 9:0.047285028 10:0.6 11:0.0003264773 12:0.09375 13:0.09090909 14:0.06542056 15:0.0 16:18.7725 # 13673
4 qid:2 1:3.7545 2:1.2329779 3:1.5137147 4:0.0 5:0.2586738 6:0.0 7:2.582679 8:0.0 9:0.047728665 10:0.9 11:0.0029382957 12:0.1875 13:0.06818182 14:0.04672897 15:0.0042283298 16:18.7725 # 17171
5 qid:2 1:3.7545 2:0.0 3:1.5137147 4:0.0 5:0.30980262 6:1.3283291 7:2.5102353 8:0.0 9:0.05223473 10:0.9 11:0.0048971595 12:0.125 13:0.13636364 14:0.04672897 15:0.0021141649 16:18.7725 # 75878
3 qid:2 1:3.7545 2:3.439503 3:1.1439587 4:0.0 5:1.8561714 6:0.0 7:0.0 8:0.0 9:0.052279465 10:0.0 11:0.0 12:0.09375 13:0.18181819 14:0.056074765 15:0.0 16:18.7725 # 76355
1 qid:2 1:3.7545 2:1.2447896 3:0.0 4:0.0 5:0.0 6:2.0220003 7:0.0 8:0.0 9:0.052391637 10:0.0 11:0.0 12:0.0625 13:0.09090909 14:0.056074765 15:0.0 16:18.7725 # 77548
5 qid:2 1:3.7545 2:1.0790608 3:1.1439587 4:0.0 5:1.3722332 6:0.0 7:2.4298651 8:0.0 9:0.052753847 10:1.0 11:0.013712047 12:0.21875 13:0.11363637 14:0.1495327 15:0.0042283298 16:18.7725 # 81116
4 qid:2 1:3.7545 2:1.4961178 3:1.1439587 4:0.0 5:1.4646721 6:0.84680235 7:2.6517777 8:0.0 9:0.05283756 10:0.9 11:0.0013059092 12:0.25 13:0.1590909 14:0.1401869 15:0.006342495 16:18.7725 # 82126
1 qid:2 1:3.7545 2:1.5535032 3:1.5137147 4:0.0 5:0.2586738 6:5.2105184 7:2.1692681 8:0.0 9:0.053121094 10:1.0 11:0.0006529546 12:0.15625 13:0.045454547 14:0.028037382 15:0.0 16:18.7725 # 85658
4 qid:2 1:3.7545 2:3.363361 3:1.1439587 4:0.0 5:1.8561714 6:0.0 7:2.393988 8:0.0 9:0.05441539 10:0.0 11:0.0003264773 12:0.09375 13:0.18181819 14:0.037383176 15:0.0 16:18.7725 # 97813
4 qid:2 1:3.7545 2:1.5859972 3:1.1439587 4:0.0 5:2.0436788 6:0.0 7:2.4144535 8:0.0 9:0.055428278 10:0.9 11:0.0013059092 12:0.125 13:0.11363637 14:0.037383176 15:0.0 16:18.7725 # 106157
2 qid:2 1:3.7545 2:3.363361 3:0.0 4:0.0 5:0.0 6:1.9044943 7:1.2321614 8:0.0 9:0.055613432 10:1.0 11:0.0009794319 12:0.0625 13:0.1590909 14:0.037383176 15:0.0 16:18.7725 # 107793
4 qid:2 1:3.7545 2:2.6306224 3:1.1439587 4:2.9054132 5:1.6266994 6:1.9060965 7:2.4637303 8:0.0 9:0.05653189 10:1.0 11:0.0006529546 12:0.125 13:0.11363637 14:0.07476635 15:0.0 16:18.7725 # 118799
3 qid:2 1:3.7545 2:0.0 3:1.1439587 4:0.0 5:1.3042262 6:0.0 7:0.0 8:0.0 9:0.05661928 10:0.8 11:0.0003264773 12:0.21875 13:0.1590909 14:0.07476635 15:0.0021141649 16:18.7725 # 120450
2 qid:2 1:3.7545 2:3.363361 3:1.1439587 4:0.0 5:1.805734 6:0.0 7:0.0 8:0.0 9:0.06012315 10:0.0 11:0.0 12:0.15625 13:0.11363637 14:0.07476635 15:0.0 16:18.7725 # 167988
4 qid:2 1:3.7545 2:0.0 3:1.1439587 4:0.0 5:2.0436788 6:0.0 7:2.1520133 8:0.0 9:0.06070107 10:0.9 11:0.0029382957 12:0.125 13:0.11363637 14:0.037383176 15:0.006342495 16:18.7725 # 177174
3 qid:2 1:3.7545 2:3.363361 3:1.5137147 4:0.0 5:0.35682154 6:1.8308599 7:0.0 8:0.0 9:0.06181777 10:0.0 11:0.0 12:0.0625 13:0.09090909 14:0.10280374 15:0.0 16:18.7725 # 192715
2 qid:2 1:3.7545 2:2.1097713 3:0.0 4:0.0 5:0.0 6:1.9829898 7:2.1648707 8:0.0 9:0.048098467 10:1.0 11:0.0019588638 12:0.0625 13:0.18181819 14:0.056074765 15:0.0 16:18.7725 # 22261
2 qid:2 1:3.7545 2:3.363361 3:1.1439587 4:0.0 5:1.805734 6:0.0 7:0.0 8:0.0 9:0.062514134 10:0.0 11:0.0 12:0.15625 13:0.11363637 14:0.037383176 15:0.0 16:18.7725 # 203194
3 qid:2 1:3.7545 2:1.393191 3:1.1439587 4:0.0 5:1.6174188 6:0.0 7:0.6695627 8:0.0 9:0.06762749 10:0.8 11:0.0006529546 12:0.21875 13:0.13636364 14:0.056074765 15:0.0021141649 16:18.7725 # 293649
5 qid:2 1:3.7545 2:1.0242625 3:1.1439587 4:0.0 5:1.231979 6:1.8121548 7:2.4637904 8:0.0 9:0.051105056 10:1.0 11:0.040809665 12:0.375 13:0.25 14:0.04672897 15:0.042283297 16:18.7725 # 63756
3 qid:2 1:3.7545 2:1.7002356 3:1.1439587 4:0.0 5:2.0436788 6:0.0 7:0.60716116 8:0.0 9:0.07153723 10:1.0 11:0.0003264773 12:0.125 13:0.18181819 14:0.04672897 15:0.0 16:18.7725 # 349185
2 qid:2 1:3.7545 2:1.5838788 3:1.1439587 4:0.0 5:1.5320016 6:0.0 7:1.9903024 8:0.0 9:0.06288982 10:0.2 11:0.0003264773 12:0.15625 13:0.11363637 14:0.10280374 15:0.0 16:18.7725 # 209871
2 qid:2 1:3.7545 2:3.363361 3:1.5137147 4:0.0 5:0.0 6:1.100723 7:0.0 8:0.0 9:0.06435958 10:0.0 11:0.0 12:0.09375 13:0.22727273 14:0.07476635 15:0.0 16:18.7725 # 236179
3 qid:2 1:3.7545 2:3.363361 3:1.1439587 4:0.0 5:1.3986297 6:0.0 7:1.8317436 8:0.0 9:0.064746395 10:1.0 11:0.0019588638 12:0.28125 13:0.11363637 14:0.06542056 15:0.01268499 16:18.7725 # 242316
4 qid:2 1:3.7545 2:3.363361 3:1.1439587 4:2.613702 5:1.7273335 6:1.0776416 7:2.7270231 8:0.0 9:0.06488404 10:1.0 11:0.0019588638 12:0.34375 13:0.13636364 14:0.04672897 15:0.0084566595 16:18.7725 # 244474
2 qid:2 1:3.7545 2:0.8634784 3:1.5137147 4:0.0 5:0.27373242 6:1.2327399 7:1.850263 8:0.0 9:0.06526557 10:0.6 11:0.0006529546 12:0.15625 13:0.18181819 14:0.07476635 15:0.0042283298 16:18.7725 # 251492
3 qid:2 1:3.7545 2:1.3049488 3:1.5137147 4:0.0 5:1.5372605 6:1.6883547 7:0.0 8:0.0 9:0.0654288 10:0.0 11:0.0 12:0.21875 13:0.20454547 14:0.018691588 15:0.0042283298 16:18.7725 # 254544
3 qid:2 1:3.7545 2:1.0601547 3:1.1439587 4:0.0 5:1.7063966 6:0.0 7:1.8379469 8:0.0 9:0.06551072 10:0.8 11:0.0006529546 12:0.1875 13:0.22727273 14:0.06542056 15:0.0042283298 16:18.7725 # 255983
4 qid:2 1:3.7545 2:2.3858185 3:1.1439587 4:0.0 5:2.1878252 6:1.0555084 7:1.7285515 8:0.0 9:0.06558109 10:1.0 11:0.0029382957 12:0.09375 13:0.045454547 14:0.084112145 15:0.006342495 16:18.7725 # 256872
3 qid:2 1:3.7545 2:3.363361 3:1.1439587 4:0.0 5:1.9970275 6:1.4007399 7:1.955071 8:0.0 9:0.06647376 10:1.0 11:0.0006529546 12:0.0625 13:0.1590909 14:0.037383176 15:0.0 16:18.7725 # 272412
2 qid:2 1:3.7545 2:3.363361 3:1.1439587 4:0.0 5:1.5320016 6:1.1248149 7:0.0 8:0.0 9:0.06648583 10:0.0 11:0.0 12:0.15625 13:0.1590909 14:0.09345794 15:0.0 16:18.7725 # 272530
2 qid:2 1:3.7545 2:1.5262324 3:1.1439587 4:0.0 5:1.8561714 6:0.0 7:0.0 8:0.0 9:0.06796632 10:0.0 11:0.0 12:0.09375 13:0.20454547 14:0.11214953 15:0.0 16:18.7725 # 298982
2 qid:2 1:3.7545 2:1.4980079 3:1.1439587 4:0.0 5:1.6266994 6:1.8364384 7:0.0 8:0.0 9:0.068283096 10:0.0 11:0.0 12:0.15625 13:0.20454547 14:0.056074765 15:0.0 16:18.7725 # 303059
1 qid:2 1:3.7545 2:2.7706938 3:1.5137147 4:0.0 5:0.24518558 6:1.8201776 7:0.0 8:0.0 9:0.068951525 10:0.7 11:0.0006529546 12:0.1875 13:0.11363637 14:0.04672897 15:0.0084566595 16:18.7725 # 311798
2 qid:2 1:3.7545 2:0.0 3:1.1439587 4:0.0 5:1.231979 6:0.0 7:0.0 8:0.0 9:0.06908158 10:0.0 11:0.0 12:0.375 13:0.22727273 14:0.084112145 15:0.0 16:18.7725 # 313400
2 qid:2 1:3.7545 2:2.9435933 3:1.1439587 4:0.0 5:1.6266994 6:0.0 7:0.0 8:0.0 9:0.070046 10:0.0 11:0.0 12:0.125 13:0.1590909 14:0.028037382 15:0.0 16:18.7725 # 327107
3 qid:2 1:3.7545 2:2.395481 3:1.5137147 4:0.0 5:0.2906527 6:1.0555084 7:0.0 8:0.0 9:0.07034195 10:0.0 11:0.0 12:0.125 13:0.1590909 14:0.07476635 15:0.0 16:18.7725 # 330988
2 qid:2 1:3.7545 2:3.363361 3:0.0 4:0.0 5:0.2906527 6:1.6258327 7:0.0 8:0.0 9:0.07205796 10:0.0 11:0.0 12:0.15625 13:0.22727273 14:0.056074765 15:0.0 16:18.7725 # 356285
3 qid:2 1:3.7545 2:3.363361 3:1.5137147 4:0.0 5:0.23303434 6:0.0 7:0.0 8:0.0 9:0.07248578 10:1.0 11:0.0003264773 12:0.21875 13:0.25 14:0.037383176 15:0.0021141649 16:18.7725 # 361554
2 qid:2 1:3.7545 2:3.363361 3:1.1439587 4:0.0 5:1.4646721 6:1.100723 7:0.0 8:0.0 9:0.072571956 10:0.0 11:0.0 12:0.21875 13:0.11363637 14:0.009345794 15:0.0 16:18.7725 # 362806
3 qid:2 1:3.7545 2:3.363361 3:1.1439587 4:0.0 5:2.0436788 6:1.5602111 7:2.341123 8:0.0 9:0.07293323 10:0.9 11:0.0006529546 12:0.125 13:0.1590909 14:0.018691588 15:0.0 16:18.7725 # 366728
2 qid:2 1:3.7545 2:1.8350435 3:1.5137147 4:0.0 5:0.0 6:1.737206 7:0.0 8:0.0 9:0.07304959 10:0.0 11:0.0 12:0.0625 13:0.20454547 14:0.04672897 15:0.0 16:18.7725 # 368135
2 qid:2 1:3.7545 2:3.363361 3:1.5137147 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.075147875 10:0.4 11:0.0003264773 12:0.03125 13:0.18181819 14:0.056074765 15:0.0 16:18.7725 # 390005
2 qid:2 1:3.7545 2:2.8467882 3:1.1439587 4:0.0 5:1.9173522 6:0.0 7:0.0 8:0.0 9:0.07553531 10:0.0 11:0.0 12:0.125 13:0.11363637 14:0.037383176 15:0.0 16:18.7725 # 393909
2 qid:2 1:3.7545 2:1.7207617 3:1.1439587 4:0.0 5:1.6266994 6:1.4432021 7:0.0 8:0.0 9:0.07561328 10:0.0 11:0.0 12:0.125 13:0.13636364 14:0.10280374 15:0.0042283298 16:18.7725 # 394659
1 qid:2 1:3.7545 2:0.0 3:0.0 4:0.0 5:0.17301321 6:1.0138617 7:0.0 8:0.0 9:0.077304944 10:0.0 11:0.0 12:0.40625 13:0.13636364 14:0.11214953 15:0.0 16:18.7725 # 410787
3 qid:2 1:3.7545 2:2.8836112 3:1.1439587 4:0.0 5:2.0436788 6:0.0 7:1.3397784 8:0.0 9:0.07759975 10:1.0 11:0.0009794319 12:0.125 13:0.11363637 14:0.028037382 15:0.0021141649 16:18.7725 # 413056
1 qid:2 1:3.7545 2:3.363361 3:0.0 4:0.0 5:0.23303434 6:1.8426704 7:0.0 8:0.0 9:0.081105165 10:0.0 11:0.0 12:0.25 13:0.18181819 14:0.16822429 15:0.0 16:18.7725 # 436803
3 qid:2 1:3.7545 2:3.1833992 3:0.0 4:0.0 5:0.24518558 6:0.0 7:0.0 8:0.0 9:0.08766662 10:0.0 11:0.0 12:0.21875 13:0.09090909 14:0.09345794 15:0.0 16:18.7725 # 462177
2 qid:2 1:3.7545 2:2.75194 3:1.1439587 4:0.0 5:2.2824788 6:1.5456312 7:0.0 8:0.0 9:0.09115761 10:0.0 11:0.0006529546 12:0.15625 13:0.18181819 14:0.056074765 15:0.0 16:18.7725 # 472361
1 qid:2 1:3.7545 2:3.363361 3:1.1439587 4:0.0 5:1.9173522 6:0.0 7:0.0 8:0.0 9:0.0963112 10:0.0 11:0.0 12:0.125 13:0.13636364 14:0.028037382 15:0.0 16:18.7725 # 485678
2 qid:2 1:3.7545 2:3.363361 3:1.1439587 4:0.0 5:1.8389034 6:1.5290835 7:0.0 8:0.0 9:0.108557165 10:0.0 11:0.0 12:0.28125 13:0.09090909 14:0.07476635 15:0.0 16:18.7725 # 508326
2 qid:2 1:3.7545 2:3.363361 3:1.5137147 4:0.0 5:0.35682154 6:1.6477545 7:0.0 8:0.0 9:0.12449776 10:0.0 11:0.0 12:0.0625 13:0.06818182 14:0.028037382 15:0.0 16:18.7725 # 520246
2 qid:2 1:3.7545 2:3.363361 3:1.5137147 4:0.0 5:0.2906527 6:2.0420868 7:0.0 8:0.0 9:0.16596004 10:0.0 11:0.0 12:0.125 13:0.09090909 14:0.04672897 15:0.0 16:18.7725 # 529680
3 qid:2 1:1.8602798 2:1.925251 3:1.1439587 4:7.361507 5:1.805734 6:0.8756598 7:2.341123 8:0.0 9:0.06969944 10:0.9 11:0.0006529546 12:0.15625 13:0.1590909 14:0.056074765 15:0.0 16:17.671448 # 322137
3 qid:2 1:3.4318473 2:1.6176699 3:1.1439587 4:0.0 5:2.2824788 6:0.82082677 7:1.8783636 8:0.0 9:0.069686174 10:1.0 11:0.0016323866 12:0.1875 13:0.36363637 14:0.19626167 15:0.0 16:17.159235 # 321840
2 qid:2 1:3.4318473 2:1.5555409 3:1.5137147 4:2.4497294 5:0.0 6:1.6005154 7:0.0 8:0.0 9:0.17788938 10:0.0 11:0.0 12:0.03125 13:0.1590909 14:0.06542056 15:0.0 16:17.159235 # 531697
5 qid:2 1:3.3758755 2:2.8847904 3:1.1439587 4:3.5360422 5:1.9003285 6:1.0138617 7:2.415937 8:0.0 9:0.0493958 10:0.9 11:0.010773751 12:0.3125 13:0.13636364 14:0.084112145 15:0.0042283298 16:16.879377 # 41503
