2 qid:0 1:4.227972 2:3.963572 3:2.1892886 4:1.348763 5:0.0 6:4.878635 7:0.0 8:0.0 9:0.083167806 10:0.0 11:0.0 12:0.15625 13:0.20454547 14:0.04672897 15:0.0021141649 16:21.139862 # 444942
2 qid:0 1:4.227972 2:0.0 3:2.1892886 4:1.5128477 5:0.0 6:2.1721754 7:0.0 8:0.0 9:0.10092909 10:0.0 11:0.0 12:0.09375 13:0.13636364 14:0.056074765 15:0.0 16:21.139862 # 495150
2 qid:0 1:4.227972 2:2.0416102 3:0.0 4:1.3863543 5:1.6655979 6:3.4139767 7:0.0 8:0.0 9:0.10940021 10:0.0 11:0.0 12:0.21875 13:0.25 14:0.10280374 15:0.0021141649 16:21.139862 # 509636
2 qid:0 1:4.227972 2:4.4032397 3:0.0 4:2.0830235 5:0.0 6:5.215619 7:0.0 8:0.0 9:0.16213976 10:0.0 11:0.0 12:0.03125 13:0.09090909 14:0.084112145 15:0.0 16:21.139862 # 528999
2 qid:0 1:4.227972 2:4.8320436 3:0.0 4:1.3131565 5:0.0 6:3.9563966 7:0.0 8:0.0 9:0.19524248 10:0.0 11:0.0 12:0.125 13:0.22727273 14:0.037383176 15:0.0 16:21.139862 # 534511
2 qid:0 1:4.227972 2:4.8320436 3:0.0 4:1.348763 5:0.0 6:4.074114 7:0.0 8:0.0 9:0.43553287 10:0.0 11:0.0 12:0.15625 13:0.20454547 14:0.037383176 15:0.0 16:21.139862 # 541018
2 qid:0 1:4.065003 2:3.7550623 3:2.1892886 4:1.3131565 5:1.6655979 6:3.6262038 7:0.0 8:0.0 9:0.066078015 10:0.0 11:0.0 12:0.1875 13:0.20454547 14:0.12149532 15:0.0 16:20.325014 # 265898
3 qid:0 1:4.0220833 2:4.676984 3:3.1261215 4:2.0830235 5:0.0 6:2.4702952 7:2.6168551 8:0.0 9:0.066149615 10:1.0 11:0.0006529546 12:0.21875 13:0.06818182 14:0.06542056 15:0.0 16:20.110416 # 267322
3 qid:0 1:4.0220833 2:5.185342 3:0.0 4:1.9992995 5:1.8595226 6:2.741138 7:2.062111 8:0.0 9:0.07015333 10:0.9 11:0.0006529546 12:0.15625 13:0.06818182 14:0.07476635 15:0.0 16:20.110416 # 328449
3 qid:0 1:4.0220833 2:4.4375205 3:2.1892886 4:1.9992995 5:0.0 6:5.3848495 7:0.0 8:0.0 9:0.07174743 10:1.0 11:0.0003264773 12:0.125 13:0.11363637 14:0.009345794 15:0.0 16:20.110416 # 352044
4 qid:0 1:3.7537808 2:0.0 3:2.1892886 4:1.7841647 5:1.6655979 6:4.480551 7:5.177958 8:0.0 9:0.049409125 10:1.0 11:0.0019588638 12:0.25 13:0.11363637 14:0.06542056 15:0.0042283298 16:18.768902 # 41910
5 qid:0 1:3.7537808 2:4.7171993 3:2.1892886 4:0.97763896 5:1.094753 6:2.5008216 7:4.941107 8:0.0 9:0.049415797 10:1.0 11:0.0016323866 12:0.40625 13:0.36363637 14:0.17757009 15:0.0042283298 16:18.768902 # 42112
3 qid:0 1:3.7537808 2:4.445818 3:2.1892886 4:1.426101 5:1.6655979 6:4.6635084 7:4.8643284 8:0.0 9:0.049415797 10:0.5 11:0.0006529546 12:0.25 13:0.22727273 14:0.22429906 15:0.0021141649 16:18.768902 # 42132
2 qid:0 1:3.7537808 2:4.7171993 3:0.0 4:1.2793818 5:2.1045551 6:4.2609158 7:0.0 8:0.0 9:0.049462505 10:0.0 11:0.0 12:0.125 13:0.27272728 14:0.1495327 15:0.0 16:18.768902 # 42803
3 qid:0 1:3.7537808 2:4.7171993 3:2.1892886 4:1.3131565 5:1.6655979 6:2.0752301 7:4.106922 8:0.0 9:0.049462505 10:1.0 11:0.0009794319 12:0.21875 13:0.3181818 14:0.13084112 15:0.0 16:18.768902 # 42867
4 qid:0 1:3.7537808 2:4.7171993 3:2.1892886 4:1.426101 5:1.3781505 6:4.350873 7:2.5449073 8:0.0 9:0.04948924 10:0.9 11:0.0006529546 12:0.3125 13:0.25 14:0.18691587 15:0.0 16:18.768902 # 43175
3 qid:0 1:3.7537808 2:4.7171993 3:2.1892886 4:1.5603025 5:1.4402914 6:5.1305885 7:5.2054486 8:0.0 9:0.049502615 10:1.0 11:0.00848841 12:0.3125 13:0.1590909 14:0.11214953 15:0.010570824 16:18.768902 # 43290
1 qid:0 1:3.7537808 2:4.7171993 3:2.1892886 4:1.2793818 5:1.8595226 6:4.6638765 7:5.437214 8:0.0 9:0.04956291 10:1.0 11:0.11785831 12:0.15625 13:0.27272728 14:0.06542056 15:0.23255813 16:18.768902 # 43990
2 qid:0 1:3.7537808 2:4.7171993 3:2.1892886 4:1.426101 5:1.508301 6:0.0 7:4.810842 8:0.0 9:0.049576323 10:1.0 11:0.0003264773 12:0.28125 13:0.20454547 14:0.084112145 15:0.0 16:18.768902 # 44354
1 qid:0 1:3.7537808 2:3.5394688 3:2.1892886 4:1.8505404 5:1.2686768 6:4.480551 7:5.049262 8:0.0 9:0.049589746 10:1.0 11:0.016650343 12:0.375 13:0.1590909 14:0.07476635 15:0.014799154 16:18.768902 # 44729
3 qid:0 1:3.7537808 2:4.7171993 3:2.1892886 4:1.5128477 5:1.757226 6:4.2232847 7:4.22406 8:0.0 9:0.04963006 10:1.0 11:0.0003264773 12:0.1875 13:0.20454547 14:0.056074765 15:0.0 16:18.768902 # 45223
2 qid:0 1:3.7537808 2:4.3076725 3:0.0 4:3.7291324 5:1.508301 6:3.4071233 7:3.0769894 8:0.0 9:0.04970415 10:1.0 11:0.0016323866 12:0.25 13:0.18181819 14:0.06542056 15:0.0 16:18.768902 # 46041
2 qid:0 1:3.7537808 2:4.7171993 3:0.0 4:1.1335988 5:1.508301 6:1.1884215 7:4.754388 8:0.0 9:0.04970415 10:1.0 11:0.0022853413 12:0.25 13:0.3181818 14:0.1588785 15:0.0021141649 16:18.768902 # 46131
4 qid:0 1:3.7537808 2:0.0 3:2.1892886 4:1.5603025 5:1.508301 6:4.28397 7:2.2336464 8:0.0 9:0.05011903 10:0.6 11:0.0006529546 12:0.25 13:0.20454547 14:0.07476635 15:0.0 16:18.768902 # 51379
3 qid:0 1:3.7537808 2:4.7171993 3:2.1892886 4:1.9220461 5:1.6655979 6:4.8509254 7:0.0 8:0.0 9:0.050132755 10:0.0 11:0.0 12:0.21875 13:0.13636364 14:0.056074765 15:0.0 16:18.768902 # 51777
5 qid:0 1:3.7537808 2:3.5432599 3:2.1892886 4:1.3131565 5:1.508301 6:3.284038 7:4.3719454 8:0.0 9:0.050208345 10:1.0 11:0.004244205 12:0.25 13:0.25 14:0.12149532 15:0.0 16:18.768902 # 52524
3 qid:0 1:3.7537808 2:3.7395341 3:0.0 4:1.7710664 5:1.5830517 6:2.1853216 7:5.1392565 8:0.0 9:0.05025657 10:1.0 11:0.0022853413 12:0.21875 13:0.29545456 14:0.13084112 15:0.0 16:18.768902 # 53308
2 qid:0 1:3.7537808 2:4.7171993 3:0.0 4:2.7320316 5:1.757226 6:4.25329 7:4.1901054 8:0.0 9:0.050291073 10:1.0 11:0.0013059092 12:0.1875 13:0.29545456 14:0.10280374 15:0.0 16:18.768902 # 53743
3 qid:0 1:3.7537808 2:4.7171993 3:0.0 4:1.1877348 5:1.6655979 6:1.3237545 7:0.0 8:0.0 9:0.050492123 10:0.0 11:0.0 12:0.25 13:0.3409091 14:0.1588785 15:0.0 16:18.768902 # 56091
3 qid:0 1:3.7537808 2:1.6469347 3:2.1892886 4:1.5603025 5:1.508301 6:3.8534904 7:5.257548 8:0.0 9:0.05065974 10:1.0 11:0.0045706825 12:0.28125 13:0.22727273 14:0.084112145 15:0.0042283298 16:18.768902 # 57816
3 qid:0 1:3.7537808 2:2.0416102 3:2.1892886 4:1.1335988 5:1.5830517 6:2.5912724 7:4.6582522 8:0.0 9:0.05073693 10:1.0 11:0.0013059092 12:0.25 13:0.3181818 14:0.084112145 15:0.0 16:18.768902 # 59420
3 qid:0 1:3.7537808 2:3.5166543 3:2.1892886 4:1.348763 5:1.8595226 6:4.6814876 7:2.7371662 8:0.0 9:0.050807316 10:1.0 11:0.0006529546 12:0.15625 13:0.22727273 14:0.09345794 15:0.0021141649 16:18.768902 # 61021
3 qid:0 1:3.7537808 2:3.8271592 3:2.1892886 4:1.426101 5:1.9744656 6:3.6819746 7:2.7365994 8:0.0 9:0.04289374 10:0.9 11:0.0039177276 12:0.15625 13:0.27272728 14:0.037383176 15:0.0 16:18.768902 # 520
4 qid:0 1:3.7537808 2:2.6802568 3:2.1892886 4:1.468194 5:1.5830517 6:4.663419 7:5.4781666 8:0.0 9:0.043141298 10:1.0 11:0.028730003 12:0.25 13:0.27272728 14:0.084112145 15:0.027484143 16:18.768902 # 2537
3 qid:0 1:3.7537808 2:1.458914 3:2.1892886 4:1.8505404 5:1.508301 6:4.9820504 7:0.0 8:0.0 9:0.04320746 10:0.8 11:0.0003264773 12:0.25 13:0.11363637 14:0.04672897 15:0.0021141649 16:18.768902 # 3905
3 qid:0 1:3.7537808 2:4.2164497 3:2.1892886 4:1.6108309 5:1.9744656 6:4.611499 7:0.0 8:0.0 9:0.043848876 10:0.6 11:0.0003264773 12:0.15625 13:0.20454547 14:0.06542056 15:0.0042283298 16:18.768902 # 7251
